statefip,state_money
Alabama,68.644707
Alaska,27.264376
Arizona,85.747169
Arkansas,47.895687
California,410.67679
Colorado,65.317055
Connecticut,53.375454
Delaware,28.364122
District of Columbia,28.619106
Florida,199.18187
Georgia,123.15356
Hawaii,30.983803
Idaho,34.208679
Illinois,146.4917
Indiana,83.559769
Iowa,47.39632
Kansas,45.888306
Kentucky,62.578293
Louisiana,65.065346
Maine,31.111389
Maryland,71.805199
Massachusetts,85.942207
Michigan,120.07093
Minnesota,63.814411
Mississippi,53.94289
Missouri,75.500092
Montana,29.624718
Nebraska,35.246552
Nevada,46.692181
New Hampshire,31.290163
New Jersey,94.754089
New Mexico,41.352562
New York,204.79027
North Carolina,120.06153
North Dakota,26.951338
Ohio,127.37148
Oklahoma,54.29715
Oregon,57.10955
Pennsylvania,138.57153
Rhode Island,31.340458
South Carolina,69.74881
South Dakota,27.365719
Tennessee,84.739815
Texas,263.05847
Utah,45.451778
Vermont,26.075871
Virginia,94.294083
Washington,81.416908
West Virginia,36.264828
Wisconsin,70.435295
Wyoming,25.095587
